X,Y,Temp
1,1,44
1,2,45
1,3,46
1,4,55
1,5,52
1,6,40
1,7,48
1,8,42
1,9,55
1,10,40
2,1,49
2,2,43
2,3,42
2,4,55
2,5,42
2,6,40
2,7,42
2,8,45
2,9,50
2,10,43
3,1,51
3,2,51
3,3,53
3,4,46
3,5,44
3,6,47
3,7,40
3,8,41
3,9,45
3,10,53
4,1,41
4,2,48
4,3,45
4,4,44
4,5,48
4,6,45
4,7,47
4,8,51
4,9,52
4,10,53
5,1,42
5,2,42
5,3,65
5,4,53
5,5,46
5,6,52
5,7,48
5,8,43
5,9,45
5,10,40
6,1,41
6,2,64
6,3,54
6,4,55
6,5,60
6,6,58
6,7,59
6,8,53
6,9,50
6,10,65
7,1,55
7,2,64
7,3,53
7,4,59
7,5,58
7,6,65
7,7,55
7,8,62
7,9,52
7,10,59
8,1,56
8,2,58
8,3,60
8,4,54
8,5,60
8,6,54
8,7,65
8,8,53
8,9,58
8,10,65
9,1,54
9,2,53
9,3,58
9,4,62
9,5,61
9,6,60
9,7,57
9,8,57
9,9,55
9,10,64
10,1,64
10,2,58
10,3,54
10,4,59
10,5,64
10,6,60
10,7,60
10,8,56
10,9,56
10,10,62
